 12O 2plus1 JacobiT correlations

 50 x 50 matrix of 2d correlation, where bottom left is cosTheta=-1, Epp/Etotal = 0
 and top right is cosTheta=1, Epp/Etotal = 1
3 1 1 2 0 0 2 3 0 1 3 1 4 2 2 1 2 2 5 0 0 2 1 0 2 2 0 1 2 0 0 5 2 2 1 2 2 4 1 3 1 0 3 2 0 0 2 1 1 3 
10 12 13 17 15 13 12 10 12 9 12 19 17 12 12 10 11 16 13 12 16 12 15 16 11 11 16 15 12 16 12 13 16 11 10 12 12 17 19 12 9 12 10 12 13 15 17 13 12 10 
21 24 24 36 15 22 29 23 30 30 24 26 23 35 32 27 39 29 26 27 33 28 37 31 34 34 31 37 28 33 27 26 29 39 27 32 35 23 26 24 30 30 23 29 22 15 36 24 24 21 
18 12 29 28 14 32 32 33 31 35 45 30 40 43 50 45 46 51 57 52 54 43 47 52 50 50 52 47 43 54 52 57 51 46 45 50 43 40 30 45 35 31 33 32 32 14 28 29 12 18 
19 18 23 18 34 29 44 28 35 39 51 46 54 43 51 52 63 56 69 48 72 73 60 70 69 69 70 60 73 72 48 69 56 63 52 51 43 54 46 51 39 35 28 44 29 34 18 23 18 19 
9 12 19 28 27 28 29 32 41 44 50 56 50 70 43 54 67 75 61 89 82 83 94 97 81 81 97 94 83 82 89 61 75 67 54 43 70 50 56 50 44 41 32 29 28 27 28 19 12 9 
5 7 11 13 19 26 31 20 42 40 38 63 56 54 78 78 86 77 87 78 90 99 87 91 107 107 91 87 99 90 78 87 77 86 78 78 54 56 63 38 40 42 20 31 26 19 13 11 7 5 
4 8 8 12 13 17 26 30 35 56 41 47 39 56 83 71 89 91 116 97 96 106 125 115 113 113 115 125 106 96 97 116 91 89 71 83 56 39 47 41 56 35 30 26 17 13 12 8 8 4 
5 4 5 6 15 11 24 30 30 38 56 47 79 64 72 76 74 71 127 125 111 108 122 114 129 129 114 122 108 111 125 127 71 74 76 72 64 79 47 56 38 30 30 24 11 15 6 5 4 5 
9 2 3 6 14 17 15 25 29 37 37 52 59 77 67 91 91 114 117 106 124 139 115 113 128 128 113 115 139 124 106 117 114 91 91 67 77 59 52 37 37 29 25 15 17 14 6 3 2 9 
4 5 6 10 7 11 18 16 24 34 42 40 62 62 89 95 104 120 110 120 141 130 128 125 132 132 125 128 130 141 120 110 120 104 95 89 62 62 40 42 34 24 16 18 11 7 10 6 5 4 
2 1 5 6 12 11 15 19 25 26 45 47 62 69 84 76 114 114 117 135 139 146 160 149 156 156 149 160 146 139 135 117 114 114 76 84 69 62 47 45 26 25 19 15 11 12 6 5 1 2 
1 4 2 4 6 10 12 15 21 27 37 50 56 64 83 74 113 104 112 138 130 147 147 143 171 171 143 147 147 130 138 112 104 113 74 83 64 56 50 37 27 21 15 12 10 6 4 2 4 1 
1 0 0 3 4 6 12 15 15 31 38 51 51 65 67 97 99 120 124 130 133 145 151 151 144 144 151 151 145 133 130 124 120 99 97 67 65 51 51 38 31 15 15 12 6 4 3 0 0 1 
3 1 4 2 3 8 6 11 12 26 23 29 51 57 65 88 86 128 113 126 168 150 146 150 148 148 150 146 150 168 126 113 128 86 88 65 57 51 29 23 26 12 11 6 8 3 2 4 1 3 
1 1 4 2 2 2 7 6 18 22 28 27 43 49 70 70 93 117 122 118 146 151 145 144 186 186 144 145 151 146 118 122 117 93 70 70 49 43 27 28 22 18 6 7 2 2 2 4 1 1 
2 4 1 3 1 2 6 11 10 19 23 24 40 46 63 81 102 104 118 127 124 143 141 143 151 151 143 141 143 124 127 118 104 102 81 63 46 40 24 23 19 10 11 6 2 1 3 1 4 2 
0 2 1 2 2 9 6 5 9 20 15 20 40 48 61 69 85 100 101 140 129 142 152 147 145 145 147 152 142 129 140 101 100 85 69 61 48 40 20 15 20 9 5 6 9 2 2 1 2 0 
0 1 2 1 4 0 7 13 12 28 34 28 34 62 52 69 90 74 103 108 149 143 140 127 136 136 127 140 143 149 108 103 74 90 69 52 62 34 28 34 28 12 13 7 0 4 1 2 1 0 
2 2 0 2 3 3 8 7 10 15 15 28 44 48 52 66 70 91 109 134 135 125 152 157 145 145 157 152 125 135 134 109 91 70 66 52 48 44 28 15 15 10 7 8 3 3 2 0 2 2 
4 0 2 1 4 4 5 6 12 21 22 33 33 42 54 92 86 96 103 110 127 116 154 131 145 145 131 154 116 127 110 103 96 86 92 54 42 33 33 22 21 12 6 5 4 4 1 2 0 4 
0 3 0 1 1 1 4 5 10 12 21 28 36 44 52 46 73 71 101 97 128 141 132 132 144 144 132 132 141 128 97 101 71 73 46 52 44 36 28 21 12 10 5 4 1 1 1 0 3 0 
0 3 1 2 2 3 7 6 8 20 25 22 26 45 56 71 92 89 114 128 121 118 142 143 135 135 143 142 118 121 128 114 89 92 71 56 45 26 22 25 20 8 6 7 3 2 2 1 3 0 
1 0 3 4 1 1 4 10 10 9 13 22 29 32 47 66 76 78 101 111 117 135 127 121 142 142 121 127 135 117 111 101 78 76 66 47 32 29 22 13 9 10 10 4 1 1 4 3 0 1 
0 2 3 0 2 1 2 10 9 15 16 25 35 31 53 69 78 78 92 111 119 121 119 118 103 103 118 119 121 119 111 92 78 78 69 53 31 35 25 16 15 9 10 2 1 2 0 3 2 0 
0 3 0 2 3 2 6 6 3 18 15 14 21 45 52 64 86 88 102 108 114 133 135 139 136 136 139 135 133 114 108 102 88 86 64 52 45 21 14 15 18 3 6 6 2 3 2 0 3 0 
0 2 1 3 4 5 5 9 10 14 15 13 33 39 47 57 68 82 89 110 92 96 128 115 137 137 115 128 96 92 110 89 82 68 57 47 39 33 13 15 14 10 9 5 5 4 3 1 2 0 
0 0 2 2 3 2 2 4 12 13 13 18 19 31 48 71 75 80 77 93 93 120 129 117 141 141 117 129 120 93 93 77 80 75 71 48 31 19 18 13 13 12 4 2 2 3 2 2 0 0 
