6Be ground state 

50x50 matrix of 2d correlation, where bottom left is cosTheta=-1,Epp/Etotal =0
and top right is cosTheta=1,Epp/Etotal=1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
5 1 1 2 0 0 1 2 0 1 1 0 1 1 1 0 2 1 0 0 1 1 0 0 1 1 0 0 1 1 0 0 1 2 0 1 1 1 0 1 1 0 2 1 0 0 2 1 1 5 
6 14 8 10 5 9 6 2 4 9 7 5 5 8 8 7 6 5 6 7 6 9 12 12 5 5 12 12 9 6 7 6 5 6 7 8 8 5 5 7 9 4 2 6 9 5 10 8 14 6 
13 17 20 15 24 20 25 19 17 17 18 15 18 18 14 14 21 15 23 10 17 13 16 17 14 14 17 16 13 17 10 23 15 21 14 14 18 18 15 18 17 17 19 25 20 24 15 20 17 13 
20 23 20 24 29 17 30 23 29 24 25 20 17 30 18 32 16 25 14 26 29 28 31 16 30 30 16 31 28 29 26 14 25 16 32 18 30 17 20 25 24 29 23 30 17 29 24 20 23 20 
31 32 38 23 36 15 34 35 39 31 23 27 24 33 26 29 21 40 37 30 29 43 32 34 29 29 34 32 43 29 30 37 40 21 29 26 33 24 27 23 31 39 35 34 15 36 23 38 32 31 
26 29 20 28 31 26 29 27 39 40 26 38 37 28 36 36 46 30 46 42 39 43 40 31 48 48 31 40 43 39 42 46 30 46 36 36 28 37 38 26 40 39 27 29 26 31 28 20 29 26 
24 26 22 30 22 39 31 43 27 27 30 37 39 34 35 43 54 34 43 40 39 47 37 41 43 43 41 37 47 39 40 43 34 54 43 35 34 39 37 30 27 27 43 31 39 22 30 22 26 24 
25 21 30 39 36 35 31 35 45 36 40 40 38 35 35 40 37 45 56 48 47 48 46 53 45 45 53 46 48 47 48 56 45 37 40 35 35 38 40 40 36 45 35 31 35 36 39 30 21 25 
26 20 34 35 22 41 39 38 41 45 42 46 52 44 45 47 48 42 37 57 52 54 51 58 53 53 58 51 54 52 57 37 42 48 47 45 44 52 46 42 45 41 38 39 41 22 35 34 20 26 
32 33 24 29 43 23 43 31 42 44 35 44 48 49 61 47 58 62 52 59 45 59 61 58 59 59 58 61 59 45 59 52 62 58 47 61 49 48 44 35 44 42 31 43 23 43 29 24 33 32 
22 30 39 25 24 32 51 38 49 45 52 40 42 55 57 57 49 57 66 57 61 49 57 54 58 58 54 57 49 61 57 66 57 49 57 57 55 42 40 52 45 49 38 51 32 24 25 39 30 22 
26 22 41 28 36 31 33 49 33 41 45 43 49 46 52 52 49 62 53 48 66 45 55 65 57 57 65 55 45 66 48 53 62 49 52 52 46 49 43 45 41 33 49 33 31 36 28 41 22 26 
26 27 35 41 27 32 30 33 37 43 50 45 44 47 51 57 59 57 55 52 54 45 59 63 52 52 63 59 45 54 52 55 57 59 57 51 47 44 45 50 43 37 33 30 32 27 41 35 27 26 
7 22 30 29 45 29 29 42 38 39 49 53 46 51 54 48 45 50 65 66 64 72 59 71 54 54 71 59 72 64 66 65 50 45 48 54 51 46 53 49 39 38 42 29 29 45 29 30 22 7 
26 30 26 23 21 30 32 31 37 35 49 49 30 46 54 65 44 68 56 72 60 60 65 73 60 60 73 65 60 60 72 56 68 44 65 54 46 30 49 49 35 37 31 32 30 21 23 26 30 26 
