.0643 10.12 
.0714  10.64
.0804  11.22
.0893  11.74
.0982 12.22
.1071 12.65
.1161 13.06
.125 13.44
.1339 13.79
.1429 14.13
.1607 14.75
.1786 15.31
.1964 15.81
.2143 16.27
.2321 16.69
.25 17.07
.2857 17.72
.3214 18.26
.3571 18.69
.3929 19.04
.4286 19.31
.4643 19.52
.5 19.67
.5357 19.78
.5714 19.85
.6071 19.89
.6429 19.90
.7143 19.86
.8036 19.71
.8929 19.49
.9821 19.22
1.071 18.93
1.1607 18.62
1.25 18.31
1.3393 17.99
1.4286 17.67
1.6071 17.06
1.7857 16.47
1.9643 15.92
2.1429 15.39
2.3214 14.78
2.5 14.21
2.8571 13.28
3.2143 12.49
3.5714 11.81
3.9286 11.21
4.2857 10.68
4.6429 10.20
5      9.778
5.3571 9.394
5.7143 9.045
6.0714 8.726
6.4286 8.433
7.1429 7.913
8.0357 7.363
8.9286 6.896
9.8214 6.495
10.7143 6.146
11.6071 5.838
12.500 5.564
13.3929 5.319
14.2857 5.097
16.0714 4.711
17.8571 4.385
19.6429 4.105
21.4286 3.860
23.2142 3.644
25. 3.450
28.5714 3.116
32.1429 2.843
35.7143 2.620
39.2857 2.427
42.8571 2.264
46.4286 2.124
50. 2.002
53.5714 1.895
57.1429 1.800
60.7143 1.716
64.2857 1.641
71.4286 1.511
80.357 1.379
89.2857 1.272
98.2143 1.183
107.1429 1.109
116.0714 1.045
125 .9900
133.928 .9419
142.85 .8995
160.71 .8283
178.57 .7709
196.42 .7235
214.28 .6838
232.1 .6501
250 .6211
285.7 .5737
321.4 .5368
357.14 .5071 
